timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,x,y,ttt_ms
2026-03-30T14:31:59.546,frame,8.288,0.0,0.002351,-0.002862,0.49,0.6,
2026-03-30T14:31:59.593,frame,39.169,21.33,0.002335,-0.002863,0.49,0.6,
2026-03-30T14:31:59.626,frame,23.408,22.17,0.002434,-0.00273,0.49,0.6,
2026-03-30T14:31:59.671,frame,38.161,22.14,0.002364,-0.002726,0.49,0.6,
2026-03-30T14:31:59.688,frame,6.323,26.42,0.002333,-0.002777,0.49,0.6,
2026-03-30T14:31:59.706,frame,8.87,29.27,0.002442,-0.00321,0.49,0.6,
2026-03-30T14:31:59.753,frame,39.875,28.46,0.002092,-0.002431,0.49,0.6,
2026-03-30T14:31:59.784,frame,28.129,28.73,0.002317,-0.00257,0.49,0.6,
2026-03-30T14:31:59.834,frame,45.277,27.9,0.002058,-0.002153,0.49,0.6,
2026-03-30T14:31:59.883,frame,45.709,27.13,0.001489,-0.00195,0.49,0.6,
2026-03-30T14:31:59.915,frame,25.665,27.62,0.001249,-0.00174,0.49,0.6,
2026-03-30T14:31:59.925,frame,5.55,34.25,0.00122,-0.001815,0.49,0.6,
2026-03-30T14:31:59.946,frame,10.703,35.75,0.001263,-0.001802,0.49,0.6,
2026-03-30T14:31:59.994,frame,43.061,34.25,0.001072,-0.001653,0.49,0.6,
2026-03-30T14:32:00.024,frame,19.049,34.04,0.000709,-0.001486,0.49,0.6,
2026-03-30T14:32:00.073,frame,33.665,32.71,0.001211,-0.001257,0.49,0.6,
2026-03-30T14:32:00.098,frame,7.945,33.4,0.00122,-0.001112,0.49,0.6,
2026-03-30T14:32:00.113,frame,6.334,36.95,0.001282,-0.001375,0.49,0.6,
2026-03-30T14:32:00.152,frame,30.618,35.78,0.001303,-0.001054,0.49,0.6,
2026-03-30T14:32:00.201,frame,27.427,34.25,0.000842,-0.000841,0.49,0.6,
2026-03-30T14:32:00.234,frame,29.026,33.82,-0.002516,-4.9e-05,0.49,0.6,
2026-03-30T14:32:00.282,frame,45.242,32.55,-0.006976,9.7e-05,0.48,0.6,
2026-03-30T14:32:00.316,frame,16.957,32.25,-0.013669,0.000154,0.48,0.6,
2026-03-30T14:32:00.338,frame,7.651,33.48,-0.013514,0.000536,0.48,0.6,
2026-03-30T14:32:00.346,frame,5.467,43.44,-0.020161,0.00043,0.47,0.6,
2026-03-30T14:32:00.396,frame,40.532,41.09,-0.025456,-0.001763,0.47,0.6,
2026-03-30T14:32:00.444,frame,37.772,39.04,-0.028768,-0.002391,0.46,0.6,
2026-03-30T14:32:00.474,frame,20.966,38.53,-0.031433,-0.003486,0.46,0.6,
2026-03-30T14:32:00.492,frame,7.754,40.05,-0.031524,-0.002975,0.46,0.6,
2026-03-30T14:32:00.508,frame,7.355,42.38,-0.031436,-0.002236,0.46,0.6,
2026-03-30T14:32:00.554,frame,31.705,40.32,-0.030394,-0.001493,0.46,0.6,
2026-03-30T14:32:00.588,frame,13.132,39.26,-0.029385,-0.003431,0.46,0.6,
2026-03-30T14:32:00.636,frame,45.886,37.42,-0.027288,-0.00101,0.46,0.6,
2026-03-30T14:32:00.669,frame,16.609,36.72,-0.024553,-0.001867,0.47,0.6,
2026-03-30T14:32:00.716,frame,40.564,35.17,-0.021392,-0.000752,0.47,0.6,
2026-03-30T14:32:00.730,frame,7.463,38.59,-0.021856,-0.000971,0.47,0.6,
2026-03-30T14:32:00.761,frame,25.657,37.66,-0.018554,-0.001389,0.47,0.6,
2026-03-30T14:32:00.794,frame,19.715,37.26,-0.015703,-0.00142,0.48,0.6,
2026-03-30T14:32:00.828,frame,22.489,36.52,-0.0108,-0.002275,0.48,0.6,
2026-03-30T14:32:00.874,frame,36.777,35.0,-0.005655,-0.00223,0.49,0.6,
2026-03-30T14:32:00.896,frame,9.362,36.11,-0.005385,-0.001853,0.49,0.6,
2026-03-30T14:32:00.909,frame,7.486,40.01,-0.001528,-0.003299,0.49,0.6,
2026-03-30T14:32:00.954,frame,36.574,38.24,0.001399,-0.003987,0.49,0.6,
2026-03-30T14:32:00.988,frame,20.043,37.35,0.002834,-0.005015,0.49,0.59,
2026-03-30T14:32:01.034,frame,34.932,35.77,0.003524,-0.00429,0.5,0.59,
2026-03-30T14:32:01.082,frame,37.046,34.28,0.003599,-0.004873,0.5,0.59,
2026-03-30T14:32:01.116,frame,23.649,33.82,0.003526,-0.005591,0.5,0.59,
2026-03-30T14:32:01.129,frame,5.882,38.12,0.003595,-0.005699,0.5,0.59,
2026-03-30T14:32:01.163,frame,23.891,37.28,0.003382,-0.004812,0.5,0.59,
