timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,x,y,ttt_ms
2026-03-30T15:20:12.710,frame,14.506,0.0,0.000691,-0.002982,0.5,0.6,
2026-03-30T15:20:12.756,frame,45.047,21.34,0.000529,-0.002657,0.5,0.6,
2026-03-30T15:20:12.801,frame,43.261,21.3,0.000595,-0.003069,0.5,0.6,
2026-03-30T15:20:12.836,frame,23.634,22.38,0.000752,-0.002838,0.5,0.6,
2026-03-30T15:20:12.849,frame,7.821,25.86,0.000735,-0.002603,0.5,0.6,
2026-03-30T15:20:12.880,frame,22.686,26.45,0.000667,-0.002842,0.5,0.6,
2026-03-30T15:20:12.916,frame,21.186,26.92,0.000828,-0.002622,0.51,0.6,
2026-03-30T15:20:12.948,frame,21.369,27.31,0.000958,-0.003385,0.51,0.6,
2026-03-30T15:20:12.997,frame,37.553,26.59,0.000996,-0.003296,0.51,0.6,
2026-03-30T15:20:13.029,frame,18.84,27.15,0.001393,-0.003634,0.51,0.6,
2026-03-30T15:20:13.076,frame,32.534,26.56,0.001222,-0.003399,0.51,0.6,
2026-03-30T15:20:13.086,frame,7.112,35.24,0.001323,-0.003225,0.51,0.6,
2026-03-30T15:20:13.106,frame,13.877,35.97,0.001169,-0.003065,0.51,0.6,
2026-03-30T15:20:13.156,frame,45.112,34.47,0.001362,-0.002931,0.51,0.6,
2026-03-30T15:20:13.186,frame,25.759,34.28,0.001079,-0.003559,0.51,0.6,
2026-03-30T15:20:13.236,frame,41.185,32.89,0.001121,-0.003559,0.51,0.6,
2026-03-30T15:20:13.248,frame,7.017,35.96,0.000821,-0.003199,0.51,0.6,
2026-03-30T15:20:13.283,frame,22.843,35.46,-0.000818,-0.002858,0.5,0.6,
2026-03-30T15:20:13.319,frame,23.209,34.88,-0.003652,-0.0019,0.5,0.6,
2026-03-30T15:20:13.349,frame,22.9,34.7,-0.00701,-0.000308,0.5,0.6,
2026-03-30T15:20:13.399,frame,36.59,33.22,-0.010873,-0.002401,0.49,0.6,
2026-03-30T15:20:13.430,frame,18.684,33.14,-0.013999,-0.00493,0.49,0.6,
2026-03-30T15:20:13.479,frame,32.801,31.88,-0.016823,-0.00377,0.49,0.6,
2026-03-30T15:20:13.503,frame,7.633,32.87,-0.01685,-0.003369,0.49,0.6,
2026-03-30T15:20:13.526,frame,14.812,33.88,-0.019517,-0.005378,0.48,0.6,
2026-03-30T15:20:13.558,frame,28.711,33.63,-0.021664,-0.00473,0.48,0.6,
2026-03-30T15:20:13.605,frame,43.458,32.37,-0.022032,-0.005774,0.48,0.6,
2026-03-30T15:20:13.638,frame,31.127,32.18,-0.021655,-0.006217,0.48,0.6,
2026-03-30T15:20:13.647,frame,5.805,41.16,-0.021623,-0.006105,0.48,0.6,
2026-03-30T15:20:13.670,frame,22.289,41.26,-0.021084,-0.0064,0.48,0.6,
2026-03-30T15:20:13.718,frame,39.348,39.21,-0.018926,-0.003539,0.49,0.6,
2026-03-30T15:20:13.747,frame,24.711,38.36,-0.016521,-0.00342,0.49,0.6,
2026-03-30T15:20:13.798,frame,45.88,36.62,-0.015325,-0.001889,0.49,0.6,
2026-03-30T15:20:13.830,frame,18.172,36.11,-0.013859,0.000593,0.49,0.6,
2026-03-30T15:20:13.880,frame,47.99,34.51,-0.013518,0.002171,0.49,0.6,
2026-03-30T15:20:13.886,frame,5.284,45.64,-0.013318,0.002077,0.49,0.6,
2026-03-30T15:20:13.927,frame,31.146,43.57,-0.0136,0.003394,0.49,0.61,
2026-03-30T15:20:13.956,frame,27.243,42.63,-0.013401,0.003122,0.49,0.6,
2026-03-30T15:20:13.986,frame,31.077,41.46,-0.014068,0.000345,0.49,0.6,
2026-03-30T15:20:14.038,frame,42.267,39.34,-0.013524,-0.000162,0.49,0.6,
2026-03-30T15:20:14.047,frame,6.216,42.51,-0.013328,-5.8e-05,0.49,0.6,
2026-03-30T15:20:14.067,frame,6.377,44.09,-0.014126,-0.002079,0.49,0.6,
2026-03-30T15:20:14.113,frame,36.05,41.82,-0.01366,-0.003622,0.49,0.6,
