timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,x,y,ttt_ms
2026-03-30T17:26:58.336,frame,8.726,0.0,0.002443,0.000144,995,531,
2026-03-30T17:26:58.371,frame,28.269,24.69,0.002701,-0.000181,995,531,
2026-03-30T17:26:58.408,frame,25.958,25.45,0.002535,-0.000347,995,531,
2026-03-30T17:26:58.460,frame,47.966,24.8,0.002059,-0.000275,995,531,
2026-03-30T17:26:58.471,frame,5.916,31.83,0.001863,-0.000337,995,531,
2026-03-30T17:26:58.485,frame,6.81,34.68,0.001856,-0.000288,995,531,
2026-03-30T17:26:58.535,frame,41.05,33.14,0.001379,-9.4e-05,995,531,
2026-03-30T17:26:58.571,frame,23.337,32.92,0.00218,-0.000353,995,531,
2026-03-30T17:26:58.617,frame,35.951,31.84,0.00171,0.000623,995,531,
2026-03-30T17:26:58.651,frame,21.393,31.56,0.001787,0.00078,995,531,
2026-03-30T17:26:58.696,frame,31.327,30.62,0.001709,0.001089,995,531,
2026-03-30T17:26:58.721,frame,8.617,31.64,0.001466,0.001389,989,538,
2026-03-30T17:26:58.735,frame,7.016,35.71,0.001402,0.000754,989,538,
2026-03-30T17:26:58.780,frame,37.21,34.34,0.000826,0.000605,989,538,
2026-03-30T17:26:58.811,frame,14.198,34.16,0.000546,0.000962,989,538,
2026-03-30T17:26:58.859,frame,43.621,32.82,0.000541,0.000484,989,538,
2026-03-30T17:26:58.871,frame,6.029,37.91,0.000246,0.000528,989,538,
2026-03-30T17:26:58.888,frame,7.507,39.84,0.000855,4e-06,989,538,
2026-03-30T17:26:58.937,frame,40.194,37.91,0.000659,-0.00046,980,540,
2026-03-30T17:26:58.965,frame,23.493,37.42,-0.000105,-0.001168,980,540,
2026-03-30T17:26:59.016,frame,38.877,35.76,-5e-06,-0.001049,980,540,
2026-03-30T17:26:59.050,frame,19.076,35.14,-0.002468,-0.000955,970,536,
2026-03-30T17:26:59.096,frame,33.528,33.76,-0.004366,-0.000406,956,534,
2026-03-30T17:26:59.120,frame,6.4,34.69,-0.004704,7.1e-05,956,534,
2026-03-30T17:26:59.137,frame,7.874,36.97,-0.008011,-0.001614,944,533,
2026-03-30T17:26:59.179,frame,30.829,35.63,-0.009858,-0.003548,926,528,
2026-03-30T17:26:59.209,frame,14.342,35.41,-0.011168,-0.003717,913,525,
2026-03-30T17:26:59.257,frame,34.522,33.96,-0.012291,-0.004821,893,519,
2026-03-30T17:26:59.271,frame,6.426,37.4,-0.012817,-0.004763,893,519,
2026-03-30T17:26:59.299,frame,10.189,37.32,-0.012675,-0.00502,876,514,
2026-03-30T17:26:59.340,frame,35.946,36.03,-0.011771,-0.006629,863,507,
2026-03-30T17:26:59.368,frame,19.366,36.0,-0.011152,-0.007462,863,507,
2026-03-30T17:26:59.420,frame,37.56,34.33,-0.009946,-0.008158,848,494,
2026-03-30T17:26:59.444,frame,19.415,34.36,-0.010372,-0.00936,848,494,
2026-03-30T17:26:59.500,frame,34.401,32.88,-0.009612,-0.008782,839,481,
2026-03-30T17:26:59.521,frame,7.591,34.2,-0.009868,-0.008645,834,477,
2026-03-30T17:26:59.537,frame,7.712,37.16,-0.0091,-0.009606,835,475,
2026-03-30T17:26:59.577,frame,23.021,35.94,-0.008968,-0.008912,832,470,
2026-03-30T17:26:59.609,frame,25.035,35.48,-0.008173,-0.00814,833,466,
2026-03-30T17:26:59.657,frame,42.017,34.0,-0.007461,-0.008139,830,462,
2026-03-30T17:26:59.671,frame,7.13,37.97,-0.007113,-0.00825,833,461,
2026-03-30T17:26:59.692,frame,7.829,38.98,-0.007153,-0.007713,831,461,
2026-03-30T17:26:59.738,frame,39.363,37.23,-0.007247,-0.006253,834,460,
2026-03-30T17:26:59.769,frame,20.145,36.8,-0.006959,-0.005536,834,460,
2026-03-30T17:26:59.819,frame,37.578,35.12,-0.007262,-0.00539,837,462,
2026-03-30T17:26:59.850,frame,22.499,34.79,-0.006811,-0.006169,837,462,
2026-03-30T17:26:59.900,frame,41.725,33.29,-0.006293,-0.007728,837,462,
2026-03-30T17:26:59.923,frame,8.24,34.45,-0.00668,-0.007307,837,462,
2026-03-30T17:26:59.936,frame,6.976,38.21,-0.005927,-0.009697,837,462,
2026-03-30T17:26:59.979,frame,35.62,36.75,-0.007221,-0.01073,841,452,
2026-03-30T17:27:00.008,frame,27.719,36.45,-0.008076,-0.013451,841,452,
2026-03-30T17:27:00.057,frame,45.535,34.88,-0.009935,-0.015993,834,434,
2026-03-30T17:27:00.071,frame,6.044,38.41,-0.010657,-0.015723,834,434,
2026-03-30T17:27:00.095,frame,7.231,38.7,-0.012333,-0.017556,828,424,
2026-03-30T17:27:00.141,frame,37.307,37.02,-0.013263,-0.018966,817,411,
2026-03-30T17:27:00.171,frame,22.408,36.66,-0.015042,-0.022117,809,400,
2026-03-30T17:27:00.220,frame,32.142,35.02,-0.016298,-0.023231,795,384,
