timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,x,y,ttt_ms
2026-04-01T00:58:31.368,frame,44.395,0.0,-0.000353,-0.001898,954,519,
2026-04-01T00:58:31.395,frame,18.593,36.0,-0.000549,-0.001668,954,519,
2026-04-01T00:58:31.438,frame,33.775,34.56,-0.000669,-0.002207,954,519,
2026-04-01T00:58:31.453,frame,6.249,39.99,-0.000689,-0.002506,954,519,
2026-04-01T00:58:31.475,frame,13.092,40.53,-0.000663,-0.002642,954,519,
2026-04-01T00:58:31.524,frame,45.575,38.56,-0.000602,-0.002303,954,519,
2026-04-01T00:58:31.555,frame,28.118,37.85,-0.000893,-0.002092,954,519,
2026-04-01T00:58:31.603,frame,43.763,36.18,-0.001009,-0.002414,954,519,
2026-04-01T00:58:31.633,frame,28.816,35.64,-0.000779,-0.002253,954,519,
2026-04-01T00:58:31.683,frame,37.007,34.15,-0.000546,-0.002699,954,519,
2026-04-01T00:58:31.700,frame,5.749,36.52,-0.000532,-0.002505,954,519,
2026-04-01T00:58:31.717,frame,6.061,39.0,-0.000668,-0.002645,954,519,
2026-04-01T00:58:31.766,frame,40.188,37.11,-0.000486,-0.00252,953,510,
2026-04-01T00:58:31.795,frame,16.59,36.95,-0.000799,-0.002537,953,510,
2026-04-01T00:58:31.839,frame,34.575,35.29,-0.000342,-0.003058,953,510,
2026-04-01T00:58:31.853,frame,6.334,43.11,-0.000305,-0.00307,953,510,
2026-04-01T00:58:31.875,frame,13.015,43.35,-0.000341,-0.003041,953,510,
2026-04-01T00:58:31.923,frame,44.193,41.07,-0.000376,-0.003086,953,510,
2026-04-01T00:58:31.955,frame,30.699,40.03,-0.00051,-0.00281,953,510,
2026-04-01T00:58:32.003,frame,31.811,38.13,-0.00064,-0.002882,953,510,
2026-04-01T00:58:32.034,frame,16.196,37.44,-0.001041,-0.002785,953,510,
2026-04-01T00:58:32.083,frame,32.049,35.75,-0.000168,-0.002803,953,510,
2026-04-01T00:58:32.104,frame,6.304,37.03,-0.000405,-0.002889,953,510,
2026-04-01T00:58:32.120,frame,6.498,39.98,0.000206,-0.003114,953,510,
2026-04-01T00:58:32.165,frame,35.992,38.18,0.001646,-0.006081,958,499,
2026-04-01T00:58:32.197,frame,19.681,37.52,0.004511,-0.009648,965,492,
2026-04-01T00:58:32.244,frame,35.556,35.89,0.010432,-0.014871,987,477,
2026-04-01T00:58:32.262,frame,7.333,37.95,0.01018,-0.014027,994,472,
2026-04-01T00:58:32.277,frame,7.377,40.58,0.016412,-0.016605,1005,466,
2026-04-01T00:58:32.325,frame,39.325,38.63,0.022026,-0.020593,1044,445,
2026-04-01T00:58:32.357,frame,27.231,37.83,0.026765,-0.022379,1076,431,
2026-04-01T00:58:32.404,frame,43.239,36.16,0.03039,-0.024053,1123,410,
2026-04-01T00:58:32.439,frame,31.321,35.45,0.033261,-0.027818,1157,393,
2026-04-01T00:58:32.485,frame,30.585,34.07,0.033694,-0.028701,1200,370,
2026-04-01T00:58:32.508,frame,7.329,34.95,0.033065,-0.028894,1219,360,
2026-04-01T00:58:32.524,frame,7.293,37.71,0.032684,-0.030862,1231,352,
2026-04-01T00:58:32.565,frame,31.996,36.4,0.031938,-0.030912,1257,334,
2026-04-01T00:58:32.596,frame,16.755,35.97,0.032652,-0.03133,1276,321,
2026-04-01T00:58:32.645,frame,31.929,34.43,0.032753,-0.032088,1302,303,
2026-04-01T00:58:32.668,frame,7.699,35.32,0.032672,-0.032181,1313,295,
2026-04-01T00:58:32.682,frame,6.252,38.87,0.032994,-0.032586,1321,289,
2026-04-01T00:58:32.725,frame,28.32,37.34,0.03365,-0.033393,1342,275,
2026-04-01T00:58:32.756,frame,29.172,36.77,0.034653,-0.032915,1358,265,
2026-04-01T00:58:32.805,frame,43.778,35.13,0.036143,-0.034122,1382,251,
2026-04-01T00:58:32.837,frame,24.69,34.8,0.038525,-0.036044,1399,241,
2026-04-01T00:58:32.885,frame,38.51,33.39,0.040096,-0.03789,1425,225,
2026-04-01T00:58:32.902,frame,8.394,35.92,0.040191,-0.037452,1434,220,
2026-04-01T00:58:32.917,frame,7.37,39.01,0.042978,-0.039958,1443,214,
2026-04-01T00:58:32.965,frame,39.494,37.19,0.047974,-0.042914,1478,195,
2026-04-01T00:58:32.995,frame,19.098,36.73,0.052093,-0.04474,1505,182,
2026-04-01T00:58:33.044,frame,36.156,35.14,0.056902,-0.045851,1552,162,
2026-04-01T00:58:33.062,frame,8.026,37.14,0.057015,-0.045864,1568,155,
2026-04-01T00:58:33.077,frame,7.722,40.07,0.06083,-0.046565,1583,149,
2026-04-01T00:58:33.126,frame,41.917,38.08,0.061523,-0.048161,1631,130,
2026-04-01T00:58:33.158,frame,25.58,37.47,0.062056,-0.049389,1658,118,
2026-04-01T00:58:33.204,frame,41.354,35.86,0.062294,-0.050746,1693,100,
2026-04-01T00:58:33.236,frame,26.925,35.4,0.061319,-0.049449,1714,90,
2026-04-01T00:58:33.284,frame,37.967,33.95,0.061648,-0.050542,1742,76,
2026-04-01T00:58:33.302,frame,7.708,36.3,0.061514,-0.050114,1751,72,
2026-04-01T00:58:33.317,frame,7.694,39.12,0.061785,-0.049696,1759,68,
2026-04-01T00:58:33.365,frame,39.618,37.31,0.061403,-0.048914,1781,59,
2026-04-01T00:58:33.396,frame,19.142,36.74,0.061951,-0.048555,1794,54,
2026-04-01T00:58:33.444,frame,35.635,35.17,0.062203,-0.049282,1811,47,
2026-04-01T00:58:33.458,frame,5.691,37.45,0.062231,-0.048979,1811,47,
2026-04-01T00:58:33.478,frame,7.189,39.55,0.061729,-0.049293,1823,42,
2026-04-01T00:58:33.524,frame,37.892,37.78,0.061696,-0.049148,1835,36,
2026-04-01T00:58:33.556,frame,25.356,37.17,0.061591,-0.047855,1843,34,
2026-04-01T00:58:33.604,frame,42.799,35.5,0.0609,-0.047449,1852,32,
2026-04-01T00:58:33.636,frame,27.239,35.14,0.060058,-0.046157,1852,32,
2026-04-01T00:58:33.685,frame,39.192,33.64,0.059534,-0.04551,1860,33,
2026-04-01T00:58:33.702,frame,6.537,36.09,0.059155,-0.046394,1860,33,
2026-04-01T00:58:33.717,frame,6.272,39.09,0.057474,-0.042442,1860,33,
2026-04-01T00:58:33.764,frame,36.982,37.34,0.055563,-0.042206,1860,33,
2026-04-01T00:58:33.796,frame,22.367,36.77,0.052566,-0.039907,1851,45,
2026-04-01T00:58:33.846,frame,42.389,35.06,0.051426,-0.036991,1839,57,
2026-04-01T00:58:33.857,frame,5.77,40.68,0.050885,-0.037317,1839,57,
2026-04-01T00:58:33.877,frame,9.658,41.83,0.048438,-0.036713,1831,63,
2026-04-01T00:58:33.925,frame,42.422,39.72,0.047691,-0.036452,1815,73,
2026-04-01T00:58:33.956,frame,27.304,38.91,0.047409,-0.036122,1806,79,
2026-04-01T00:58:34.006,frame,44.772,37.03,0.047086,-0.036556,1792,87,
2026-04-01T00:58:34.038,frame,14.921,36.46,0.046843,-0.037236,1784,91,
2026-04-01T00:58:34.086,frame,36.731,34.9,0.04763,-0.037078,1774,96,
2026-04-01T00:58:34.102,frame,6.145,37.64,0.047651,-0.036846,1774,96,
2026-04-01T00:58:34.118,frame,6.609,40.15,0.047236,-0.037402,1774,96,
2026-04-01T00:58:34.163,frame,35.645,38.36,0.047277,-0.038354,1761,101,
2026-04-01T00:58:34.195,frame,19.019,37.57,0.048432,-0.039692,1761,101,
2026-04-01T00:58:34.239,frame,35.735,35.93,0.048351,-0.040714,1761,101,
2026-04-01T00:58:34.254,frame,7.595,41.37,0.04864,-0.040762,1752,99,
2026-04-01T00:58:34.274,frame,12.497,42.21,0.049147,-0.041697,1752,99,
2026-04-01T00:58:34.324,frame,45.012,40.0,0.050523,-0.043,1752,99,
2026-04-01T00:58:34.355,frame,25.453,39.28,0.050018,-0.043213,1752,99,
2026-04-01T00:58:34.405,frame,42.466,37.35,0.050291,-0.044362,1750,86,
2026-04-01T00:58:34.435,frame,26.054,36.89,0.049978,-0.045465,1750,86,
2026-04-01T00:58:34.484,frame,43.565,35.26,0.049366,-0.045784,1748,75,
2026-04-01T00:58:34.493,frame,5.776,42.51,0.049255,-0.045797,1748,75,
2026-04-01T00:58:34.514,frame,10.997,43.0,0.0499,-0.046972,1748,75,
2026-04-01T00:58:34.564,frame,45.605,40.7,0.048997,-0.047158,1744,64,
2026-04-01T00:58:34.595,frame,14.713,39.87,0.049419,-0.04742,1744,64,
2026-04-01T00:58:34.643,frame,31.642,37.96,0.04924,-0.0474,1742,54,
2026-04-01T00:58:34.664,frame,6.351,39.05,0.0491,-0.047454,1742,54,
2026-04-01T00:58:34.679,frame,5.832,41.77,0.049525,-0.04745,1742,54,
2026-04-01T00:58:34.724,frame,34.809,39.81,0.050156,-0.047894,1741,45,
2026-04-01T00:58:34.755,frame,26.187,39.11,0.050371,-0.047972,1741,45,
2026-04-01T00:58:34.805,frame,39.992,37.15,0.050983,-0.048745,1744,37,
