timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,x,y,ttt_ms
2026-03-30T15:27:34.285,frame,8.128,0.0,0.002081,-0.0002,991,528,
2026-03-30T15:27:34.324,frame,32.889,24.15,0.002148,-8.8e-05,991,528,
2026-03-30T15:27:34.354,frame,27.757,24.89,0.002002,0.000106,991,528,
2026-03-30T15:27:34.406,frame,45.993,24.47,0.002148,0.000278,991,528,
2026-03-30T15:27:34.417,frame,7.168,31.28,0.002088,0.000306,991,528,
2026-03-30T15:27:34.439,frame,13.443,32.52,0.002478,0.000604,991,528,
2026-03-30T15:27:34.484,frame,41.593,31.37,0.002469,0.001442,991,528,
2026-03-30T15:27:34.516,frame,26.545,31.29,0.002299,0.001678,991,528,
2026-03-30T15:27:34.569,frame,43.013,30.23,0.002886,0.001942,994,535,
2026-03-30T15:27:34.596,frame,21.365,30.6,0.003041,0.002079,994,535,
2026-03-30T15:27:34.646,frame,36.723,29.6,0.003147,0.002346,994,535,
2026-03-30T15:27:34.668,frame,6.383,31.49,0.003178,0.002115,994,535,
2026-03-30T15:27:34.683,frame,6.195,34.85,0.003356,0.002027,994,535,
2026-03-30T15:27:34.730,frame,37.007,33.52,0.003586,0.002284,1000,542,
2026-03-30T15:27:34.758,frame,15.25,33.65,0.003767,0.001788,1000,542,
2026-03-30T15:27:34.804,frame,46.437,32.36,0.003635,0.001397,1000,542,
2026-03-30T15:27:34.815,frame,6.712,38.38,0.003644,0.001366,1000,542,
2026-03-30T15:27:34.837,frame,11.042,39.36,0.003941,0.000671,1000,542,
2026-03-30T15:27:34.888,frame,44.107,37.43,0.003845,0.000757,1000,542,
2026-03-30T15:27:34.921,frame,27.028,36.73,0.00339,-0.001185,1007,539,
2026-03-30T15:27:34.965,frame,39.981,35.2,0.003045,-0.003175,1007,539,
2026-03-30T15:27:35.002,frame,24.711,34.61,0.003328,-0.00773,1007,525,
2026-03-30T15:27:35.049,frame,40.52,33.28,0.003517,-0.009913,1008,511,
2026-03-30T15:27:35.066,frame,6.694,35.49,0.002993,-0.010492,1008,511,
2026-03-30T15:27:35.083,frame,7.865,38.06,0.003723,-0.014155,1008,500,
2026-03-30T15:27:35.127,frame,33.939,36.54,0.003882,-0.018943,1010,477,
2026-03-30T15:27:35.159,frame,30.136,35.98,0.004963,-0.024269,1012,458,
2026-03-30T15:27:35.208,frame,32.19,34.41,0.005709,-0.028924,1017,425,
2026-03-30T15:27:35.234,frame,7.894,34.79,0.005884,-0.02945,1020,408,
2026-03-30T15:27:35.250,frame,8.154,37.73,0.006561,-0.033628,1022,397,
2026-03-30T15:27:35.288,frame,27.351,36.61,0.005985,-0.036066,1025,369,
