timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,x,y,ttt_ms
2026-03-30T15:18:42.143,frame,13.744,0.0,-0.000991,-0.000419,0.5,0.63,
2026-03-30T15:18:42.187,frame,43.768,21.43,-0.001012,-5e-05,0.5,0.63,
2026-03-30T15:18:42.218,frame,25.39,22.44,-0.001047,4e-05,0.5,0.63,
2026-03-30T15:18:42.271,frame,44.265,22.11,-0.000992,0.000141,0.5,0.63,
2026-03-30T15:18:42.282,frame,6.606,28.04,-0.000943,0.000443,0.5,0.63,
2026-03-30T15:18:42.298,frame,6.078,31.43,-0.000758,-0.000185,0.5,0.63,
2026-03-30T15:18:42.346,frame,39.212,30.29,-0.001055,-7.9e-05,0.5,0.63,
2026-03-30T15:18:42.381,frame,21.579,30.39,-0.000949,-0.000629,0.5,0.63,
2026-03-30T15:18:42.430,frame,34.996,29.49,-0.000963,0.000152,0.5,0.63,
2026-03-30T15:18:42.463,frame,17.748,29.63,-0.000412,0.000148,0.5,0.63,
2026-03-30T15:18:42.507,frame,32.687,28.76,-0.000257,0.000111,0.5,0.63,
2026-03-30T15:18:42.522,frame,6.136,34.58,-0.000368,9.5e-05,0.5,0.63,
2026-03-30T15:18:42.541,frame,9.745,36.44,-0.000312,0.000315,0.5,0.63,
2026-03-30T15:18:42.586,frame,44.08,34.83,3.3e-05,0.00041,0.5,0.63,
2026-03-30T15:18:42.618,frame,26.018,34.5,-0.000205,0.000518,0.5,0.63,
2026-03-30T15:18:42.673,frame,43.128,33.02,9.5e-05,8.5e-05,0.5,0.63,
2026-03-30T15:18:42.685,frame,6.161,37.7,-0.000101,-2.8e-05,0.5,0.63,
2026-03-30T15:18:42.703,frame,7.48,39.69,-0.000163,0.000227,0.5,0.63,
2026-03-30T15:18:42.746,frame,41.498,37.72,-0.000184,0.000388,0.5,0.63,
2026-03-30T15:18:42.780,frame,20.956,37.22,-0.000186,0.000226,0.5,0.63,
2026-03-30T15:18:42.830,frame,38.801,35.47,-0.000216,7.8e-05,0.5,0.63,
2026-03-30T15:18:42.863,frame,18.084,35.29,0.000363,0.000204,0.5,0.63,
2026-03-30T15:18:42.906,frame,32.073,33.9,0.000215,1.4e-05,0.5,0.63,
2026-03-30T15:18:42.916,frame,6.237,42.26,8e-06,-7e-05,0.5,0.63,
2026-03-30T15:18:42.940,frame,13.256,42.49,0.000173,-8.6e-05,0.5,0.63,
2026-03-30T15:18:42.989,frame,45.711,40.23,-0.000215,-0.000412,0.5,0.63,
2026-03-30T15:18:43.018,frame,25.567,39.54,-0.000338,-0.000878,0.5,0.63,
2026-03-30T15:18:43.067,frame,42.203,37.59,-0.000756,-0.001097,0.5,0.63,
2026-03-30T15:18:43.086,frame,7.224,40.58,-0.000614,-0.001205,0.5,0.63,
2026-03-30T15:18:43.098,frame,5.82,43.1,-0.001284,-0.001855,0.5,0.63,
2026-03-30T15:18:43.146,frame,37.342,40.84,-0.002358,-5e-06,0.49,0.63,
2026-03-30T15:18:43.183,frame,21.391,39.78,-0.004882,-0.00119,0.49,0.63,
2026-03-30T15:18:43.232,frame,36.233,37.88,-0.010116,-0.002213,0.49,0.63,
2026-03-30T15:18:43.266,frame,21.283,36.96,-0.014562,-0.004023,0.48,0.62,
2026-03-30T15:18:43.310,frame,31.151,35.54,-0.018037,-0.007071,0.48,0.62,
2026-03-30T15:18:43.320,frame,6.991,41.83,-0.017589,-0.005102,0.48,0.62,
2026-03-30T15:18:43.343,frame,14.325,42.0,-0.020519,-0.006492,0.48,0.62,
2026-03-30T15:18:43.391,frame,31.181,39.89,-0.021938,-0.006559,0.47,0.62,
2026-03-30T15:18:43.423,frame,28.673,39.07,-0.022893,-0.006951,0.47,0.62,
2026-03-30T15:18:43.473,frame,44.456,37.17,-0.02264,-0.008361,0.47,0.62,
2026-03-30T15:18:43.487,frame,7.947,40.43,-0.022796,-0.00779,0.47,0.62,
2026-03-30T15:18:43.507,frame,6.416,41.36,-0.022985,-0.008674,0.47,0.62,
2026-03-30T15:18:43.552,frame,38.522,39.46,-0.022982,-0.008671,0.47,0.62,
2026-03-30T15:18:43.583,frame,20.85,38.73,-0.022982,-0.009233,0.47,0.62,
2026-03-30T15:18:43.632,frame,37.257,36.9,-0.02304,-0.009213,0.47,0.62,
2026-03-30T15:18:43.663,frame,18.297,36.43,-0.02291,-0.009699,0.47,0.62,
2026-03-30T15:18:43.712,frame,32.45,34.85,-0.023262,-0.009584,0.47,0.62,
2026-03-30T15:18:43.731,frame,5.84,35.56,-0.023351,-0.009737,0.47,0.62,
2026-03-30T15:18:43.753,frame,7.294,37.65,-0.023173,-0.009729,0.47,0.62,
2026-03-30T15:18:43.792,frame,29.203,36.48,-0.023588,-0.008676,0.47,0.62,
2026-03-30T15:18:43.818,frame,26.355,36.17,-0.023511,-0.008817,0.47,0.62,
2026-03-30T15:18:43.874,frame,44.706,34.46,-0.023811,-0.008689,0.47,0.62,
2026-03-30T15:18:43.881,frame,6.308,39.71,-0.023646,-0.008613,0.47,0.62,
2026-03-30T15:18:43.899,frame,6.51,41.53,-0.023962,-0.009805,0.47,0.62,
2026-03-30T15:18:43.953,frame,40.802,39.36,-0.023649,-0.012042,0.47,0.62,
2026-03-30T15:18:43.984,frame,21.452,38.72,-0.02429,-0.016238,0.47,0.61,
2026-03-30T15:18:44.032,frame,37.154,36.91,-0.023338,-0.019556,0.47,0.61,
2026-03-30T15:18:44.066,frame,7.882,36.21,-0.022832,-0.02316,0.47,0.61,
2026-03-30T15:18:44.114,frame,35.252,34.67,-0.020998,-0.026282,0.48,0.6,
2026-03-30T15:18:44.135,frame,7.549,35.79,-0.022051,-0.025887,0.47,0.6,
2026-03-30T15:18:44.153,frame,7.282,37.88,-0.020387,-0.029767,0.48,0.6,
2026-03-30T15:18:44.192,frame,29.802,36.64,-0.019916,-0.031387,0.48,0.6,
2026-03-30T15:18:44.223,frame,26.949,36.21,-0.019263,-0.033129,0.48,0.6,
2026-03-30T15:18:44.272,frame,34.852,34.65,-0.019027,-0.034042,0.48,0.59,
2026-03-30T15:18:44.282,frame,6.48,38.41,-0.019851,-0.034245,0.48,0.59,
2026-03-30T15:18:44.305,frame,8.648,39.86,-0.019098,-0.035969,0.48,0.59,
2026-03-30T15:18:44.353,frame,42.003,37.92,-0.019591,-0.034697,0.48,0.59,
2026-03-30T15:18:44.385,frame,22.463,37.31,-0.019269,-0.034515,0.48,0.59,
2026-03-30T15:18:44.432,frame,36.46,35.72,-0.018939,-0.033409,0.48,0.6,
2026-03-30T15:18:44.458,frame,16.361,35.46,-0.018449,-0.033106,0.48,0.6,
2026-03-30T15:18:44.513,frame,34.511,33.88,-0.018175,-0.032885,0.48,0.6,
2026-03-30T15:18:44.531,frame,6.724,34.89,-0.018203,-0.03335,0.48,0.6,
2026-03-30T15:18:44.553,frame,7.329,37.0,-0.017277,-0.033122,0.48,0.6,
2026-03-30T15:18:44.594,frame,31.054,35.78,-0.01673,-0.034608,0.48,0.59,
2026-03-30T15:18:44.620,frame,25.912,35.67,-0.016262,-0.034443,0.48,0.59,
2026-03-30T15:18:44.672,frame,42.747,34.12,-0.014935,-0.0348,0.48,0.59,
2026-03-30T15:18:44.681,frame,6.432,37.99,-0.014997,-0.034729,0.48,0.59,
2026-03-30T15:18:44.699,frame,6.547,39.94,-0.014129,-0.034326,0.48,0.59,
2026-03-30T15:18:44.753,frame,40.733,37.94,-0.014056,-0.034174,0.48,0.59,
2026-03-30T15:18:44.779,frame,20.38,37.57,-0.014033,-0.033914,0.48,0.59,
2026-03-30T15:18:44.834,frame,38.443,35.77,-0.014122,-0.03375,0.48,0.6,
2026-03-30T15:18:44.864,frame,19.595,35.39,-0.014342,-0.032965,0.48,0.6,
2026-03-30T15:18:44.912,frame,33.547,33.98,-0.014065,-0.031837,0.48,0.6,
2026-03-30T15:18:44.933,frame,6.685,34.88,-0.014004,-0.0322,0.48,0.6,
2026-03-30T15:18:44.949,frame,6.237,37.16,-0.014026,-0.032153,0.48,0.6,
2026-03-30T15:18:44.986,frame,27.777,36.05,-0.014068,-0.031671,0.48,0.6,
2026-03-30T15:18:45.024,frame,28.092,35.48,-0.014169,-0.031705,0.48,0.6,
2026-03-30T15:18:45.071,frame,43.328,33.99,-0.013969,-0.031243,0.48,0.6,
2026-03-30T15:18:45.082,frame,6.07,38.13,-0.014011,-0.031425,0.48,0.6,
2026-03-30T15:18:45.101,frame,6.319,40.3,-0.014189,-0.030691,0.48,0.6,
